gross,genres,,movie_title,budget,Net 
400736600,Adventure|Animation|Comedy|Family|Fantasy|Musical,,Frozen,150000000,250736600
281492479,Action|Sci-Fi,,The Matrix Reloaded,150000000,131492479
206360018,Action|Adventure|Fantasy,,Thor: The Dark World,170000000,36360018
153629485,Action|Adventure|Sci-Fi|Thriller,,Mad Max: Fury Road,150000000,3629485
133375846,Mystery|Thriller,,Angels & Demons,150000000,-16624154
181015141,Action|Adventure|Fantasy,,Thor,150000000,31015141
114053579,Adventure|Animation|Comedy|Drama|Family,,Bolt,150000000,-35946421
119420252,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,,G-Force,150000000,-30579748
83640426,Action|Adventure|Fantasy,,Wrath of the Titans,150000000,-66359574
79711678,Comedy|Fantasy|Horror,,Dark Shadows,100000000,-20288322
195000874,Action|Adventure|Thriller,,Mission: Impossible - Rogue Nation,150000000,45000874
61937495,Drama|Fantasy|Horror|Thriller,,The Wolfman,150000000,-88062505
124051759,Action|Adventure|Drama|Romance,,The Legend of Tarzan,180000000,-55948241
126597121,Adventure|Animation|Comedy|Family,,Bee Movie,150000000,-23402879
165230261,Action|Adventure|Animation|Comedy|Family,,Kung Fu Panda 2,150000000,15230261
131564731,Action|Adventure|Family|Fantasy,,The Last Airbender,150000000,-18435269
133382309,Action|Adventure|Thriller,,Mission: Impossible III,150000000,-16617691
73103784,Action|Drama|Thriller,,White House Down,150000000,-76896216
21379315,Action|Adventure|Animation|Comedy|Family|Sci-Fi,,Mars Needs Moms,150000000,-128620685
64459316,Adventure|Animation|Comedy|Family,,Flushed Away,149000000,-84540684
34964818,Adventure|Family|Fantasy,,Pan,150000000,-115035182
111505642,Adventure|Animation|Comedy|Family|Sci-Fi,,Mr. Peabody & Sherman,145000000,-33494358
133228348,Adventure,,Troy,175000000,-41771652
216366733,Adventure|Animation|Comedy|Family,,Madagascar 3: Europe's Most Wanted,145000000,71366733
160201106,Action|Adventure|Thriller,,Die Another Day,142000000,18201106
118099659,Action|Comedy|Fantasy|Sci-Fi,,Ghostbusters,144000000,-25900341
201573391,Action|Adventure|Sci-Fi|Thriller,,Armageddon,140000000,61573391
190418803,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,,Men in Black II,140000000,50418803
82161969,Action|Adventure|Animation|Fantasy,,Beowulf,150000000,-67838031
143523463,Action|Adventure|Animation|Comedy|Family,,Kung Fu Panda 3,145000000,-1476537
209364921,Action|Adventure|Thriller,,Mission: Impossible - Ghost Protocol,145000000,64364921
103400692,Adventure|Animation|Family|Fantasy,,Rise of the Guardians,145000000,-41599308
110332737,Comedy|Crime,,Fun with Dick and Jane,100000000,10332737
111110575,Action|Drama|History|War,,The Last Samurai,140000000,-28889425
65007045,Action|Adventure|Drama,,Exodus: Gods and Kings,140000000,-74992955
257704099,Action|Adventure|Sci-Fi,,Star Trek,150000000,107704099
403706375,Action|Adventure|Fantasy|Romance,,Spider-Man,139000000,264706375
176997107,Action|Adventure|Animation|Comedy|Family|Fantasy,,How to Train Your Dragon 2,145000000,31997107
31141074,Action|Adventure|Fantasy,,Gods of Egypt,140000000,-108858926
31704416,Action|Adventure|Sci-Fi|Thriller,,Stealth,135000000,-103295584
107503316,Action|Drama|Mystery|Sci-Fi,,Watchmen,130000000,-22496684
129734803,Action|Crime|Thriller,,Lethal Weapon 4,140000000,-10265197
132122995,Action|Sci-Fi,,Hulk,137000000,-4877005
122512052,Action|Adventure|Sci-Fi|Thriller,,G.I. Joe: Retaliation,130000000,-7487948
68642452,Action|Adventure|Comedy|Thriller,,Sahara,130000000,-61357548
32131830,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,,Final Fantasy: The Spirits Within,137000000,-104868170
176636816,Action|Adventure|Sci-Fi,,Captain America: The First Avenger,140000000,36636816
126930660,Action|Adventure|Thriller,,The World Is Not Enough,135000000,-8069340
93926386,Action|Adventure|Drama|History|War,,Master and Commander: The Far Side of the World,150000000,-56073614
292298923,Adventure|Drama|Fantasy|Romance,,The Twilight Saga: Breaking Dawn - Part 2,120000000,172298923
63992328,Animation|Comedy|Family|Musical,,Happy Feet 2,135000000,-71007672
134518390,Action|Adventure|Sci-Fi,,The Incredible Hulk,150000000,-15481610
,Action|Crime|Drama|Mystery|Thriller,,Miami Vice            ,1500000,-1500000
52792307,Adventure|Family|Fantasy,,The BFG,140000000,-87207693
183635922,Adventure|Drama|Thriller|Western,,The Revenant,135000000,48635922
83024900,Adventure|Animation|Comedy|Family|Sport,,Turbo,135000000,-51975100
123207194,Adventure|Animation|Comedy|Family|Western,,Rango,135000000,-11792806
83348920,Adventure|Animation|Comedy|Family,,Penguins of Madagascar,132000000,-48651080
227137090,Action|Mystery|Thriller,,The Bourne Ultimatum,110000000,117137090
215395021,Action|Adventure|Animation|Comedy|Family,,Kung Fu Panda,130000000,85395021
180191634,Action|Adventure|Comedy|Sci-Fi,,Ant-Man,130000000,50191634
424645577,Adventure|Sci-Fi|Thriller,,The Hunger Games: Catching Fire,130000000,294645577
292298923,Adventure|Drama|Fantasy|Romance,,The Twilight Saga: Breaking Dawn - Part 2,120000000,172298923
177343675,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,,Home,135000000,42343675
234277056,Adventure|Sci-Fi|Thriller,,War of the Worlds,132000000,102277056
138396624,Action|Comedy|Crime|Thriller,,Bad Boys II,130000000,8396624
149234747,Action|Adventure|Animation|Comedy|Family|Fantasy,,Puss in Boots,130000000,19234747
118311368,Action|Crime|Mystery|Thriller,,Salt,110000000,8311368
101160529,Action|Adventure|Drama,,Noah,125000000,-23839471
77564037,Action|Adventure|Family|Mystery,,The Adventures of Tintin,135000000,-57435963
249358727,Adventure|Family|Fantasy|Mystery,,Harry Potter and the Prisoner of Azkaban,130000000,119358727
49551662,Adventure|Drama|Romance|War,,Australia,130000000,-80448338
60522097,Action|Adventure|Sci-Fi,,After Earth,130000000,-69477903
137748063,Adventure|Animation|Family|Thriller,,Dinosaur,127500000,10248063
,Action|Fantasy,,Harry Potter and the Deathly Hallows: Part II,,0
113733726,Adventure|Comedy|Family|Fantasy,,Night at the Museum: Secret of the Tomb,127000000,-13266274
148337537,Action|Animation|Comedy|Family|Sci-Fi,,Megamind,130000000,18337537
317557891,Adventure|Family|Fantasy,,Harry Potter and the Sorcerer's Stone,125000000,192557891
33592415,Action|Comedy|Fantasy,,R.I.P.D.,130000000,-96407585
,Action|Adventure|Drama|Horror|Sci-Fi,,Godzilla Resurgence,,0
305388685,Action|Adventure|Fantasy,,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,165388685
,Fantasy,,Harry Potter and the Deathly Hallows: Part I,,0
337103873,Adventure|Sci-Fi|Thriller,,The Hunger Games: Mockingjay - Part 1,125000000,212103873
217536138,Mystery|Thriller,,The Da Vinci Code,125000000,92536138
131536019,Adventure|Animation|Comedy|Family|Musical,,Rio 2,103000000,28536019
214948780,Action|Adventure|Fantasy|Sci-Fi|Thriller,,X-Men 2,110000000,104948780
209805005,Action|Crime|Thriller,,Fast Five,125000000,84805005
186830669,Action|Adventure|Crime|Mystery|Thriller,,Sherlock Holmes: A Game of Shadows,125000000,61830669
163192114,Action|Adventure|Fantasy,,Clash of the Titans,125000000,38192114
119412921,Action|Sci-Fi,,Total Recall,65000000,54412921
32694788,Action|Adventure|History,,The 13th Warrior,85000000,-52305212
113165635,Action|Adventure|Thriller,,The Bourne Legacy,125000000,-11834365
107285004,Action,,Batman & Robin,125000000,-17714996
260031035,Comedy|Family|Fantasy,,How the Grinch Stole Christmas,123000000,137031035
186739919,Action|Adventure|Sci-Fi|Thriller,,The Day After Tomorrow,125000000,61739919
215397307,Action|Adventure|Thriller,,Mission: Impossible II,125000000,90397307
182618434,Action|Adventure|Drama|Thriller,,The Perfect Storm,140000000,42618434
131920333,Action|Adventure|Sci-Fi|Thriller,,Fantastic 4: Rise of the Silver Surfer,130000000,1920333
124976634,Adventure|Drama|Fantasy,,Life of Pi,120000000,4976634
115802596,Action|Fantasy|Thriller,,Ghost Rider,110000000,5802596
108521835,Action|Thriller,,Jason Bourne,120000000,-11478165
100685880,Action|Adventure|Comedy|Crime,,Charlie's Angels: Full Throttle,120000000,-19314120
126464904,Adventure|Mystery|Sci-Fi,,Prometheus,130000000,-3535096
64736114,Adventure|Animation|Comedy|Family|Fantasy,,Stuart Little 2,120000000,-55263886
93050117,Action|Drama|Sci-Fi|Thriller,,Elysium,115000000,-21949883
57637485,Action|Adventure|Sci-Fi|Thriller,,The Chronicles of Riddick,105000000,-47362515
58607007,Action|Crime|Sci-Fi|Thriller,,RoboCop,100000000,-41392993
43929341,Action|Family|Sport,,Speed Racer,120000000,-76070659
30212620,Comedy|Drama|Romance,,How Do You Know,120000000,-89787380
76418654,Action|Comedy|Romance,,Knight and Day,117000000,-40581346
89021735,Action|Adventure|Mystery|Sci-Fi,,Oblivion,120000000,-30978265
380262555,Action|Adventure|Fantasy|Sci-Fi,,Star Wars: Episode III - Revenge of the Sith,113000000,267262555
310675583,Action|Adventure|Fantasy|Sci-Fi,,Star Wars: Episode II - Attack of the Clones,115000000,195675583
289907418,Adventure|Animation|Comedy|Family|Fantasy,,"Monsters, Inc.",115000000,174907418
132550960,Action|Adventure|Sci-Fi|Thriller,,The Wolverine,120000000,12550960
474544677,Action|Adventure|Fantasy|Sci-Fi,,Star Wars: Episode I - The Phantom Menace,115000000,359544677
187165546,Adventure|Animation|Comedy|Family|Fantasy,,The Croods,135000000,52165546
,Adventure|Comedy|Family|Fantasy,,Asterix at the Olympic Games,78000000,-78000000
40911830,Action|Drama|War,,Windtalkers,115000000,-74088170
47952020,Action|Adventure|Drama|Fantasy,,The Huntsman: Winter's War,115000000,-67047980
190871240,Action|Adventure|Comedy|Sci-Fi,,Teenage Mutant Ninja Turtles,125000000,65871240
274084951,Adventure|Drama|Sci-Fi|Thriller,,Gravity,100000000,174084951
67155742,Action|Adventure|Thriller,,Dante's Peak,116000000,-48844258
81638674,Action|Adventure|Comedy|Sci-Fi,,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,-53361326
56114221,Action|Adventure|Sci-Fi,,Fantastic Four,120000000,-63885779
250863268,Action|Adventure|Comedy|Family|Fantasy,,Night at the Museum,110000000,140863268
155181732,Action|Adventure|Drama|Thriller,,San Andreas,110000000,45181732
125332007,Action|Adventure|Thriller,,Tomorrow Never Dies,110000000,15332007
113330342,Action|Drama|History|War,,The Patriot,110000000,3330342
125531634,Crime|Thriller,,Ocean's Twelve,110000000,15531634
186336103,Action|Comedy|Crime|Romance|Thriller,,Mr. & Mrs. Smith,120000000,66336103
129995817,Adventure|Sci-Fi|Thriller,,Insurgent,110000000,19995817
102608827,Biography|Drama,,The Aviator,110000000,-7391173
42776259,Adventure|Comedy|Family|Fantasy,,Gulliver's Travels,112000000,-69223741
98780042,Action|Comedy|Crime|Sci-Fi|Thriller,,The Green Hornet,120000000,-21219958
,Action|Adventure|Crime,,The A-Team            ,,0
106369117,Action|Drama|Fantasy|War,,300: Rise of an Empire,110000000,-3630883
142614158,Adventure|Animation|Comedy|Family|Fantasy,,The Smurfs,110000000,32614158
50026353,Animation|Comedy|Family|Music|Western,,Home on the Range,110000000,-59973647
66002193,Action|Adventure|Mystery|Sci-Fi|Thriller,,Allegiant,110000000,-43997807
85463309,Action|Drama|Sci-Fi|Sport,,Real Steel,110000000,-24536691
71017784,Adventure|Animation|Comedy|Family|Fantasy,,The Smurfs 2,105000000,-33982216
48068396,Action|Crime|Romance|Thriller,,Speed 2: Cruise Control,160000000,-111931604
61656849,Action|Sci-Fi,,Ender's Game,110000000,-48343151
134520804,Action|Adventure|Thriller,,Live Free or Die Hard,110000000,24520804
313837577,Action|Adventure|Drama|Fantasy,,The Lord of the Rings: The Fellowship of the Ring,93000000,220837577
24004159,Action|Adventure|Comedy,,Around the World in 80 Days,110000000,-85995841
58183966,Biography|Drama|Sport,,Ali,107000000,-48816034
100446895,Adventure|Comedy|Family|Fantasy,,The Cat in the Hat,109000000,-8553105
144795350,Action|Mystery|Sci-Fi|Thriller,,"I, Robot",120000000,24795350
47396698,Action|Adventure|Drama|History|War,,Kingdom of Heaven,130000000,-82603302
140015224,Adventure|Comedy|Family|Fantasy,,Stuart Little,133000000,7015224
104374107,Animation|Family|Fantasy|Musical|Romance,,The Princess and the Frog,105000000,-625893
228430993,Adventure|Drama|Sci-Fi,,The Martian,108000000,120430993
,Comedy,,"10,000 B.C.            ",,0
35799026,Action|Adventure|Romance|Sci-Fi|Thriller,,The Island,126000000,-90200974
6712451,Comedy|Romance,,Town & Country,90000000,-83287549
101643008,Action|Crime|Thriller,,Gone in Sixty Seconds,90000000,11643008
187670866,Action|Drama|Romance,,Gladiator,103000000,84670866
132014112,Action|Mystery|Sci-Fi|Thriller,,Minority Report,102000000,30014112
261970615,Adventure|Family|Fantasy|Mystery,,Harry Potter and the Chamber of Secrets,100000000,161970615
167007184,Action|Adventure|Thriller,,Casino Royale,150000000,17007184
180011740,Action|Adventure|Sci-Fi|Thriller,,Planet of the Apes,100000000,80011740
204843350,Action|Sci-Fi,,Terminator 2: Judgment Day,102000000,102843350
97030725,Biography|Crime|Drama|History|Romance,,Public Enemies,100000000,-2969275
130127620,Biography|Crime|Drama,,American Gangster,100000000,30127620
146282411,Action|Comedy|Thriller,,True Lies,115000000,31282411
65452312,Action|Crime|Thriller,,The Taking of Pelham 1 2 3,100000000,-34547688
148383780,Comedy|Romance,,Little Fockers,100000000,48383780
119219978,Action|Comedy|Crime,,The Other Guys,100000000,19219978
101228120,Action|Drama|Mystery|Thriller,,Eraser,100000000,1228120
162804648,Drama|Western,,Django Unchained,100000000,62804648
100117603,Animation|Drama|Family|Musical|Romance,,The Hunchback of Notre Dame,100000000,117603
89296573,Adventure|Animation|Comedy|Family|Fantasy,,The Emperor's New Groove,100000000,-10703427
85017401,Action|Adventure|Thriller,,The Expendables 2,92000000,-6982599
173005002,Action|Adventure|Comedy|Family|Mystery,,National Treasure,100000000,73005002
75030163,Action|Adventure|Family|Fantasy,,Eragon,100000000,-24969837
77222184,Adventure|Drama|Family|Fantasy,,Where the Wild Things Are,100000000,-22777816
34964818,Adventure|Family|Fantasy,,Pan,150000000,-115035182
107515297,Adventure|Animation|Family|Fantasy,,Epic,100000000,7515297
67631157,Action|Romance|Thriller,,The Tourist,100000000,-32368843
66862068,Action|Fantasy|Horror|Mystery,,End of Days,83000000,-16137932
57366262,Adventure|Drama|Thriller,,Blood Diamond,100000000,-42633738
116866727,Biography|Comedy|Crime|Drama,,The Wolf of Wall Street,100000000,16866727
184031112,Action|Adventure|Fantasy,,Batman Forever,100000000,84031112
54700065,Action|Sci-Fi|War,,Starship Troopers,105000000,-50299935
27098580,Drama|Sci-Fi,,Cloud Atlas,102000000,-74901420
55673333,Action|Adventure|Animation|Family|Fantasy,,Legend of the Guardians: The Owls of Ga'Hoole,80000000,-24326667
40198710,Action|Crime|Fantasy|Romance|Thriller,,Catwoman,100000000,-59801290
72660029,Action|Adventure,,Hercules,100000000,-27339971
38120554,Adventure|Animation|Family|Sci-Fi,,Treasure Planet,140000000,-101879446
49392095,Adventure|Comedy|Sci-Fi,,Land of the Lost,100000000,-50607905
39292022,Action|Adventure|Thriller,,The Expendables 3,90000000,-50707978
28772222,Action|Crime|Sport|Thriller,,Point Break,105000000,-76227778
17010646,Comedy|Family|Fantasy,,Son of the Mask,84000000,-66989354
24985612,Action|Adventure|Biography|Drama|History|Thriller,,In the Heart of the Sea,100000000,-75014388
4411102,Action|Comedy|Sci-Fi,,The Adventures of Pluto Nash,100000000,-95588898
35024475,Action|Drama|Thriller|War,,Green Zone,100000000,-64975525
130174897,Adventure|Animation|Comedy|Family,,The Peanuts Movie,99000000,31174897
10200000,Drama|Mystery|Thriller,,The Spanish Prisoner,10000000,200000
202007640,Action|Adventure|Fantasy|Thriller,,The Mummy Returns,98000000,104007640
77679638,Crime|Drama,,Gangs of New York,100000000,-22320362
9213,Drama|History|Romance|War,,The Flowers of War,94000000,-93990787
58867694,Animation|Comedy|Family|Sport,,Surf's Up,100000000,-41132306
59475623,Comedy|Sci-Fi|Thriller,,The Stepford Wives,90000000,-30524377
108638745,Drama|History|War,,Black Hawk Down,92000000,16638745
86897182,Comedy,,The Campaign,95000000,-8102818
63540020,Action|Adventure|Sci-Fi,,The Fifth Element,93000000,-29459980
95328937,Comedy|Drama|Romance,,Sex and the City 2,100000000,-4671063
50802661,Adventure|Animation|Comedy|Family|Romance,,The Road to El Dorado,95000000,-44197339
161317423,Adventure|Animation|Comedy|Family,,Ice Age: Continental Drift,95000000,66317423
201148159,Drama|Family|Fantasy|Romance,,Cinderella,95000000,106148159
43982842,Drama|Fantasy|Thriller,,The Lovely Bones,65000000,-21017158
380838870,Adventure|Animation|Comedy|Family,,Finding Nemo,94000000,286838870
377019252,Action|Adventure|Drama|Fantasy,,The Lord of the Rings: The Return of the King,94000000,283019252
340478898,Action|Adventure|Drama|Fantasy,,The Lord of the Rings: The Two Towers,94000000,246478898
17176900,Action|Adventure|Fantasy,,Seventh Son,95000000,-77823100
131144183,Action|Adventure|Fantasy|Thriller,,Lara Croft: Tomb Raider,115000000,16144183
23014504,Drama|Mystery|Romance|Sci-Fi|Thriller,,Transcendence,100000000,-76985496
181166115,Action|Adventure|Sci-Fi|Thriller,,Jurassic Park III,93000000,88166115
176740650,Action|Drama|Sci-Fi|Thriller,,Rise of the Planet of the Apes,93000000,83740650
71148699,Adventure|Family|Fantasy,,The Spiderwick Chronicles,90000000,-18851301
